,Date,User,Tweet
71,2020-09-29 19:46:45+00:00,Kan__Fatima,"Stop taking Twitter so seriously, most of your likes and RTs are coming from people on the toilet seat 🤣🤣🤣🤣🤣

#COVID19 
#TwitterOfTime"
72,2020-09-29 19:38:24+00:00,averagesalesguy,Waukee schools need to give @DrBradBuck a lifetime contact.  His leadership through this entire #COVID19 pandemic has been outstanding.  Thank You Dr. Buck and staff!
73,2020-09-29 19:38:21+00:00,KumuLelemia,I am heartbroken to hear a student at my institution passed away from #covid19. :ʻ(
74,2020-09-29 19:23:18+00:00,TulsaTeresa,"Oklahoma had the funds to spend $2,000,000 on useless hydroxychloroquine for #COVID19 but failed to fund end of school ACT tests students relied on for college admission. Promises NOT kept."
75,2020-09-29 19:21:38+00:00,LatinoCaucus,.@AsmRobertRivas’ farmworker relief package #AB2043 and #AB2165 was signed into law by the @CAgovernor! These @LatinoCaucus priorities will protect the agricultural community from #COVID19 by ensuring access to critical workplace safety information and essential state services.
76,2020-09-29 19:15:12+00:00,Madeleine_Pape,"What are the consequences of COVID-19 for women's sport? Next week I'm moderating THE panel to answer this question feat. @DrSportPsych @ProfCooky @FMcLach @hollythorpe_nz for ISSA 2020 @ISocSport. Join us! Read on for logistics... 

#ISSA2020 #WomensSport #COVID19 @ISSULausanne"
77,2020-09-29 19:11:34+00:00,The_OtherET,"Many #COVID19 ""experts"" lament Indiana and Florida reopening and claim they fear mass outbreaks again. I think deep down they hide their true fear: that nothing happens, and their relevance and antiscientific fear mongering fades into the ether like Yoda in Return of the Jedi"
78,2020-09-29 19:09:22+00:00,womenncri,"#Iran: #Coronavirus death toll exceeds 1⃣1⃣2⃣0⃣0⃣0⃣
M-R Hashemian, ICU specialist at Masih Daneshvari Hospital: #COVID19 situation in Tehran is critical &amp; black. There are no empty ICU beds; patients must wait in long queues even for ER admission. Tehran must be quarantined asap."
79,2020-09-29 19:08:59+00:00,roberto_blanko,"#Covid19 myth #4: Thread 

1/
In nearly every argument about the necessity of a lockdown the phrase ""...but Sweden"" is used all around the globe.

So the question is:
Is Sweden 🇸🇪 really a role model for saving the economy by refusing to lockdown?

Spoiler alert: NO"
80,2020-09-29 19:06:46+00:00,PTI_News,"Chhattisgarh reports 2,197 new #COVID19 cases, 39 more fatalities. Infection tally rises to 1,10,655, death toll mounts to 916. Number of active cases stands at 31,225."
81,2020-09-29 19:05:00+00:00,JohnsHopkinsSPH,"10-15% of #COVID19 patients can develop severe blood clots, and many require greater doses of anticoagulation—or blood thinners—than typical patients, says @HopkinsMedicine's Dr. Robert Brodsky, who has a theory about why this is happening.

Hear more on today's @PublicHealthPod."
82,2020-09-29 19:05:00+00:00,SkyNews,"Here are the latest #coronavirus rules explained, as worst-hit areas ban friends from meeting in pubs and restaurants 👇"
83,2020-09-29 19:04:27+00:00,PTI_News,"Sikkim reports 41 new #COVID19 cases; infection tally rises to 2,856. Number of active cases stands at 667."
84,2020-09-29 18:59:59+00:00,BenWinslow,"JUST IN: @UtahDepOfHealth reporting 694 new cases of #COVID19 in Utah today. 4 new deaths. 4,403 new tests administered. 50 new hospitalizations. @fox13 #utpol #Utah"
85,2020-09-29 18:59:58+00:00,B52Malmet,"The “debate” won’t be on facts or policy. It will be Trump trying to bully Biden. But Biden isn’t the one who is coming from behind the polls, or bombshell news about his taxes. Biden is not the one who is presiding over 7 million cases of #covid ,
205 thousand dead. #BidenFTW"
86,2020-09-29 18:52:07+00:00,QaaliHussein1,"For the parents sending their kids back to school, what is your school doing to monitor for s/s of #COVID19? Are they doing temp check? Do they have tests? How’s the PPE situation?"
87,2020-09-29 18:46:57+00:00,JNJNursing,Temp checks. Zoom checkups. #School districts across the country are each looking very different. But one thing is constant: school #nurses working to keep students and staff safe. Meet trail-blazing nurses making a difference and problem-solving to take on #COVID19 challenges.
